amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe_Ratio,Alpha,Max_Drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,Fund_Score
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.18,0.2926358334175106,-0.18188513572116294,8.0,5.0,3.0,15.0,25.0,100.0
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.307,0.27330465038306057,-0.1297396816518679,11.0,2.0,5.0,22.0,13.0,98.14385150812065
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.094,0.2719535450128533,-0.16217208574644848,10.0,7.0,6.0,17.0,20.0,93.03944315545243
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.945,0.3033696538698332,-0.2870600572176455,1.0,14.0,1.0,21.0,36.0,91.87935034802784
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.448,0.2698375144191807,-0.11265729075028275,17.0,1.0,7.0,23.0,8.0,90.71925754060325
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.95,0.3005787817097677,-0.31171900300634214,6.0,13.0,2.0,26.5,37.0,80.8584686774942
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.132,0.26598577542043045,-0.17248105753451382,9.0,6.0,8.0,38.0,22.0,78.19025522041764
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.027,0.2119482701352573,-0.12588275606922517,20.0,9.5,13.0,12.0,12.0,76.91415313225059
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.998,0.2607666908004223,-0.20960883862039192,15.0,11.0,9.0,17.0,28.0,74.94199535962876
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.235,0.2827036785246582,-0.1639674294693263,23.0,3.0,4.0,36.5,21.0,67.40139211136892
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.082,0.21829397904608644,-0.17414075086657232,21.0,8.0,11.0,24.5,23.0,65.31322505800463
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.208,0.23201007160635082,-0.1501238549864533,26.0,4.0,10.0,30.5,17.0,62.529002320185626
101206,ABSL Frontline Equity Fund - Regular - Growth,13.78,1.6,1.027,0.21399784776051212,-0.11291596329323073,22.0,9.5,12.0,36.5,9.0,59.39675174013921
119552,SBI Bluechip Fund - Direct Plan - Growth,11.3,0.66,0.953,0.1986859936686296,-0.11803493502764295,34.0,12.0,15.0,4.0,11.0,58.70069605568444
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.926,0.20873010086942337,-0.1527259422823477,19.0,15.0,14.0,26.5,19.0,57.65661252900232
125497,HDFC Top 100 Fund - Direct Plan - Growth,13.38,0.92,0.776,0.17729754927531766,-0.15200013055606398,24.0,18.0,16.0,14.0,18.0,54.524361948955914
